TABLE_TITLE,OCTET_NO,CONTENU
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,27-30,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,31-34,Ni - nombre de points le long d'un parallèle
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,35-38,Nj - nombre de points le long d'un méridien
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,39-42,Angle de base du domaine de production initial (voir la note 1)
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,43-46,Subdivisions de l'angle de base utilisées pour indiquer les longitudes et latitudes extrêmes et les incréments de direction (voir la note 1)
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,47,Indicateurs de résolution et de composantes (voir la table d'indicateurs 3.3 et la note 2)
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,48,Mode d'exploration (indicateurs – voir la table d'indicateurs 3.4)
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,49-ii,Liste des longitudes (voir les notes 1 et 3)
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,(ii+1)-jj,Liste des latitudes (voir les notes 1 et 3)
Modèle de définition de la grille 3.5 — Grille latitude/longitude de résolution variable après rotation,15-48,Voir le modèle de définition de la grille 3.4 (voir la note 1)
Modèle de définition de la grille 3.5 — Grille latitude/longitude de résolution variable après rotation,49-52,Latitude du pôle Sud de la projection (voir la note 4)
Modèle de définition de la grille 3.5 — Grille latitude/longitude de résolution variable après rotation,53-56,Longitude du pôle Sud de la projection (voir la note 4)
Modèle de définition de la grille 3.5 — Grille latitude/longitude de résolution variable après rotation,57-60,Angle de rotation de la projection (voir la note 4)
Modèle de définition de la grille 3.5 — Grille latitude/longitude de résolution variable après rotation,61-ii,Liste des longitudes (voir les notes 1 et 3)
Modèle de définition de la grille 3.5 — Grille latitude/longitude de résolution variable après rotation,(ii+1)-jj,Liste des latitudes (voir les notes 1 et 3)
Modèle de définition de la grille 3.10 — Projection de Mercator,15,Forme de la Terre (voir la table de code 3.2)
Modèle de définition de la grille 3.10 — Projection de Mercator,16,Facteur d'échelle du rayon de la Terre sphérique
Modèle de définition de la grille 3.10 — Projection de Mercator,17-20,Valeur ajustée du rayon de la Terre sphérique
Modèle de définition de la grille 3.10 — Projection de Mercator,21,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.10 — Projection de Mercator,22-25,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.10 — Projection de Mercator,26,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.10 — Projection de Mercator,27-30,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.10 — Projection de Mercator,31-34,Ni - nombre de points le long d'un parallèle
Modèle de définition de la grille 3.10 — Projection de Mercator,35-38,Nj - nombre de points le long d'un méridien
Modèle de définition de la grille 3.10 — Projection de Mercator,39-42,La1 - latitude du premier point de la grille
Modèle de définition de la grille 3.10 — Projection de Mercator,43-46,Lo1 - longitude du premier point de la grille
Modèle de définition de la grille 3.10 — Projection de Mercator,47,Indicateurs de résolution et de composantes (voir la table d'indicateurs 3.3)
Modèle de définition de la grille 3.10 — Projection de Mercator,48-51,LaD latitude(s) d'intersection du cylindre de projection de Mercator avec la Terre (latitude(s) pour laquelle (lesquelles) Di et Dj sont précisées)
Modèle de définition de la grille 3.10 — Projection de Mercator,52-55,La2 - latitude du dernier point de la grille
Modèle de définition de la grille 3.10 — Projection de Mercator,56-59,Lo2 - longitude du dernier point de la grille
Modèle de définition de la grille 3.10 — Projection de Mercator,60,Mode d'exploration (indicateurs – voir la table d'indicateurs 3.4)
Modèle de définition de la grille 3.10 — Projection de Mercator,61-64,"Orientation de la grille, angle entre la direction i sur la carte et l'équateur (voir la note 1)"
Modèle de définition de la grille 3.10 — Projection de Mercator,65-68,Di - longueur de grille dans le sens de la longitude (voir la note 2)
Modèle de définition de la grille 3.10 — Projection de Mercator,69-72,Dj - longueur de grille dans le sens de la latitude (voir la note 2)
Modèle de définition de la grille 3.10 — Projection de Mercator,73-nn,Liste de nombre de points le long de chaque méridien ou parallèle (ces octets ne s'appliquent qu'aux grilles quasi régulières dont il est question dans les notes 2 et 3 du modèle de définition de la grille 3.1)
Modèle de définition de la grille 3.12 — Transverse de Mercator,15,Forme de la Terre (voir la table de code 3.2)
Modèle de définition de la grille 3.12 — Transverse de Mercator,16,Facteur d'échelle du rayon de la Terre sphérique
Modèle de définition de la grille 3.12 — Transverse de Mercator,17-20,Valeur ajustée du rayon de la Terre sphérique
Modèle de définition de la grille 3.12 — Transverse de Mercator,21,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.12 — Transverse de Mercator,22-25,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.12 — Transverse de Mercator,26,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.12 — Transverse de Mercator,27-30,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.12 — Transverse de Mercator,31-34,Ni - nombre de points le long de l'axe des i
Modèle de définition de la grille 3.12 — Transverse de Mercator,35-38,Nj - nombre de points le long de l'axe des j
Modèle de définition de la grille 3.12 — Transverse de Mercator,39-42,LaR - latitude géographique du point de référence
Modèle de définition de la grille 3.12 — Transverse de Mercator,43-46,LoR - longitude géographique du point de référence
Modèle de définition de la grille 3.12 — Transverse de Mercator,47,Indicateurs de résolution et de composantes (voir la table d'indicateurs 3.3)
Modèle de définition de la grille 3.12 — Transverse de Mercator,48-51,"m facteur d'échelle au point de référence, soit le rapport de la distance sur la carte à la distance sur l'ellipsoïde (valeur en virgule flottante IEEE 32 bits)"
Modèle de définition de la grille 3.12 — Transverse de Mercator,52-55,"XR - abscisse fictive, coordonnée de direction i du point de référence, exprimée en 10-2 m"
Modèle de définition de la grille 3.12 — Transverse de Mercator,56-59,"YR - ordonnée fictive, coordonnée de direction j du point de référence, exprimée en 10-2 m"
Modèle de définition de la grille 3.12 — Transverse de Mercator,60,Mode d'exploration (indicateurs – voir la table d'indicateurs 3.4)
Modèle de définition de la grille 3.12 — Transverse de Mercator,61-64,"Di i - longueur de l'incrément de direction, exprimée en 10-2 m"
Modèle de définition de la grille 3.12 — Transverse de Mercator,65-68,"Dj j - longueur de l'incrément de direction, exprimée en 10-2 m"
Modèle de définition de la grille 3.12 — Transverse de Mercator,69-72,"x1 - coordonnée de direction i du premier point de grille, exprimée en 10-2 m"
Modèle de définition de la grille 3.12 — Transverse de Mercator,73-76,"y1 - coordonnée de direction j du premier point de grille, exprimée en 10-2 m"
Modèle de définition de la grille 3.12 — Transverse de Mercator,77-80,"x2 - coordonnée de direction i du dernier point de grille, exprimée en 10-2 m"
Modèle de définition de la grille 3.12 — Transverse de Mercator,81-84,"y2 - coordonnée de direction j du dernier point de grille, exprimée en 10-2 m"
Modèle de définition de la grille 3.13 – Projection de Mercator avec définition des sous-domaines de modélisation,15-nn,Voir modèle de définition de la grille 3.10
Modèle de définition de la grille 3.13 – Projection de Mercator avec définition des sous-domaines de modélisation,[nn+1]-[nn+4],Nux - taille du sous-domaine de prévision numérique dans la direction x (nombre de points de grille)
Modèle de définition de la grille 3.13 – Projection de Mercator avec définition des sous-domaines de modélisation,[nn+5]-[nn+8],Ncx - largeur de la zone de couplage au sein du domaine de prévision dans la direction x (nombre de points de grille)
Modèle de définition de la grille 3.13 – Projection de Mercator avec définition des sous-domaines de modélisation,[nn+9]-[nn+12],Nuy - taille du sous-domaine de prévision numérique dans la direction y (nombre de points de grille)
Modèle de définition de la grille 3.13 – Projection de Mercator avec définition des sous-domaines de modélisation,[nn+13]-[nn+16],Ncy – largeur de la zone de couplage au sein du domaine de prévision dans la direction y (nombre de points de grille)
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,15,Forme de la Terre (voir la table de code 3.2)
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,16,Facteur d'échelle du rayon de la Terre sphérique
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,17-20,Valeur ajustée du rayon de la Terre sphérique
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,21,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,22-25,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,26,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,27-30,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,31-34,Nx - nombre de points le long de l'axe des x
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,35-38,Ny - nombre de points le long de l'axe des y
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,39-42,La1 - latitude du premier point de la grille
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,43-46,Lo1 - longitude du premier point de la grille
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,47,Indicateurs de résolution et de composantes (voir la table d'indicateurs 3.3 et la note 1)
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,48-51,LaD - latitude pour laquelle Dx et Dy sont précisées
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,52-55,LoV - orientation de la grille (voir la note 2)
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,56-59,Dx - longueur de grille dans la direction x (voir la note 3)
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,60-63,Dy - longueur de grille dans la direction y (voir la note 3)
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,64,Centre de la projection (voir la table d'indicateurs 3.5)
Modèle de définition de la grille 3.20 — Projection stéréographique polaire,65,Mode d'exploration (voir la table d'indicateurs 3.4)
Modèle de définition de la grille 3.23 – Projection stéréographique polaire avec définition des sous-domaines de modélisation,15-65,Voir modèle de définition de la grille 3.20
Modèle de définition de la grille 3.23 – Projection stéréographique polaire avec définition des sous-domaines de modélisation,66-69,Nux - taille du sous-domaine de prévision numérique dans la direction x (nombre de points de grille)
Modèle de définition de la grille 3.23 – Projection stéréographique polaire avec définition des sous-domaines de modélisation,70-73,Ncx - largeur de la zone de couplage au sein du domaine de prévision dans la direction x (nombre de points de grille)
Modèle de définition de la grille 3.23 – Projection stéréographique polaire avec définition des sous-domaines de modélisation,74-77,Nuy - taille du sous-domaine de prévision numérique dans la direction y (nombre de points de grille)
Modèle de définition de la grille 3.23 – Projection stéréographique polaire avec définition des sous-domaines de modélisation,78-81,Ncy - largeur de la zone de couplage au sein du domaine de prévision dans la direction y (nombre de points de grille)
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,15,Forme de la Terre (voir la table de code 3.2)
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,16,Facteur d'échelle du rayon de la Terre sphérique
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,17-20,Valeur ajustée du rayon de la Terre sphérique
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,21,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,22-25,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,26,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,27-30,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,31-34,Nx - nombre de points le long de l'axe des x
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,35-38,Ny - nombre de points le long de l'axe des y
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,39-42,La1 - latitude du premier point de la grille
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,43-46,Lo1 - longitude du premier point de la grille
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,47,Indicateurs de résolution et de composantes (voir la table d'indicateurs 3.3)
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,48-51,LaD - latitude pour laquelle Dx et Dy sont précisées
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,52-55,LoV - Longitude du méridien parallèle à l'axe des y le long duquel la valeur des y augmente avec la latitude
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,56-59,Dx - longueur de grille dans la direction x (voir la note 1)
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,60-63,Dy - longueur de grille dans la direction y (voir la note 1)
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,64,Centre de la projection (voir la table d'indicateurs 3.5)
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,65,Mode d'exploration (voir la table d'indicateurs 3.4)
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,66-69,Carré latin 1 première latitude à partir du pôle à laquelle le cône sécant coupe la sphère
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,70-73,Carré latin 2 – deuxième latitude à partir du pôle à laquelle le cône sécant coupe la sphère
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,74-77,Latitude du pôle Sud de la projection
Modèle de définition de la grille 3.30 — Projection conforme de Lambert,78-81,Longitude du pôle Sud de la projection
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,15,Forme de la Terre (voir la table de code 3.2)
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,16,Facteur d'échelle du rayon de la Terre sphérique
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,17-20,Valeur ajustée du rayon de la Terre sphérique
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,21,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,22-25,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,26,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,27-30,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,31-34,Nx - nombre de points le long de l'axe des x
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,35-38,Ny - nombre de points le long de l'axe des y
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,39-42,La1 - latitude du premier point de la grille
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,43-46,Lo1 - longitude du premier point de la grille
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,47,Indicateurs de résolution et de composantes (voir la table d'indicateurs 3.3 et la note 1)
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,48-51,LaD - latitude pour laquelle Dx et Dy sont précisées
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,52-55,LoV - Longitude du méridien parallèle à l'axe des y le long duquel la valeur des y augmente avec la latitude
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,56-59,Dx - longueur de grille dans la direction x (voir la note 1)
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,60-63,Dy - longueur de grille dans la direction y (voir la note 1)
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,64,Centre de la projection (voir la table d'indicateurs 3.5)
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,65,Mode d'exploration (voir la table d'indicateurs 3.4)
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,66-69,Carré latin 1 - première latitude à partir du pôle à laquelle le cône sécant coupe la sphère
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,70-73,Carré latin 2 - deuxième latitude à partir du pôle à laquelle le cône sécant coupe la sphère
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,74-77,Latitude du pôle Sud de la projection
Modèle de définition de la grille 3.31 — Projection d'Albers conservant le rapport des aires,78-81,Longitude du pôle Sud de la projection
Modèle de définition de la grille 3.33 — Projection conforme de Lambert avec définition des sous-domaines de modélisation,15-81,Voir modèle de définition de la grille 3.30
Modèle de définition de la grille 3.33 — Projection conforme de Lambert avec définition des sous-domaines de modélisation,82-85,Nux - taille du sous-domaine de prévision numérique dans la direction x (nombre de points de grille)
Modèle de définition de la grille 3.33 — Projection conforme de Lambert avec définition des sous-domaines de modélisation,86-89,Ncx - largeur de la zone de couplage au sein du domaine de prévision dans la direction x (nombre de points de grille)
Modèle de définition de la grille 3.33 — Projection conforme de Lambert avec définition des sous-domaines de modélisation,90-93,Nuy - taille du sous-domaine de prévision numérique dans la direction y (nombre de points de grille)
Modèle de définition de la grille 3.33 — Projection conforme de Lambert avec définition des sous-domaines de modélisation,94-97,Ncy - largeur de la zone de couplage au sein du domaine de prévision dans la direction y (nombre de points de grille)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,15,Forme de la Terre (voir la table de code 3.2)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,16,Facteur d'échelle du rayon de la Terre sphérique
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,17-20,Valeur ajustée du rayon de la Terre sphérique
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,21,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,22-25,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,26,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,27-30,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,31-34,Ni - nombre de points le long d'un parallèle
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,35-38,Nj - nombre de points le long d'un méridien
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,39-42,Angle de base du domaine de production initial (voir la note 1)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,43-46,Subdivisions de l'angle de base utilisées pour indiquer les longitudes et latitudes extrêmes et les incréments de direction (voir la note 1)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,47-50,La1 - latitude du premier point de la grille (voir la note 1)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,51-54,Lo1 - longitude du premier point de la grille (voir la note 1)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,55,Indicateurs de résolution et de composantes (voir la table d'indicateurs 3.3)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,56-59,La2 - latitude du dernier point de la grille (voir la note 1)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,60-63,Lo2 - longitude du dernier point de la grille (voir la note 1)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,64-67,Di - incrément de la direction i (voir les notes 1 et 5)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,68-71,N - nombre de parallèles entre un pôle et l'équateur (voir la note 2)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,72,Mode d'exploration (indicateurs – voir la table d'indicateurs 3.4)
Modèle de définition de la grille 3.40 — Grille gaussienne latitude/longitude,73-nn,Liste de nombre de points le long de chaque méridien ou parallèle (ces octets ne s'appliquent qu'aux grilles quasi régulières dont il est question dans la note 4)
Modèle de définition de la grille 3.41 — Grille gaussienne latitude/longitude après rotation,15-72,Voir le modèle de définition de la grille 3.40 (voir la note 1)
Modèle de définition de la grille 3.41 — Grille gaussienne latitude/longitude après rotation,73-76,Latitude du pôle Sud de la projection
Modèle de définition de la grille 3.41 — Grille gaussienne latitude/longitude après rotation,77-80,Longitude du pôle Sud de la projection
Modèle de définition de la grille 3.41 — Grille gaussienne latitude/longitude après rotation,81-84,Angle de rotation de la projection
Modèle de définition de la grille 3.41 — Grille gaussienne latitude/longitude après rotation,85-nn,Liste de nombre de points le long de chaque méridien ou parallèle (ces octets ne s'appliquent qu'aux grilles quasi régulières dont il est question dans la note 4)
