TABLE TITLE,CHIFFRE DU CODE,NUMÉRO DE BIT,VALEUR,SIGNIFICATION,REMARQUES,UNITÉ,NUMÉRO de BIT
Table de code 3.1 — Numéro du modèle de définition de la grille,32,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,33,,,Projection conforme de Lambert avec définition des sous-domaines de modélisation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,34-39,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,40,,,Grille gaussienne latitude/longitude,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,41,,,Grille gaussienne latitude/longitude après rotation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,42,,,Grille gaussienne latitude/longitude après dilatation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,43,,,Grille gaussienne latitude/longitude après dilatation et rotation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,44-49,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,50,,,Coefficients harmoniques sphériques,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,51,,,Coefficients harmoniques sphériques après rotation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,52,,,Coefficients harmoniques sphériques après dilatation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,53,,,Coefficients harmoniques sphériques après dilatation et rotation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,54-60,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,61,,,Représentation spectrale en projection de Mercator avec définition des sous-domaines de modélisation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,62,,,Représentation spectrale en projection stéréographique polaire avec définition des sous-domaines de modélisation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,63,,,Représentation spectrale en projection conforme de Lambert avec définition des sous-domaines de modélisation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,64-89,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,90,,,Perspective vue de l'espace ou projection orthographique,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,91-99,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,100,,,"Grille triangulaire, face d'un icosaèdre",,,
Table de code 3.1 — Numéro du modèle de définition de la grille,101,,,Grille générale non structurée,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,102-109,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,110,,,Projection équatoriale azimutale équidistante,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,111-119,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,120,,,Projection azimut-distance,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,121-139,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,140,,,Projection azimutale équivalente de Lambert,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,141-999,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,1000,,,"Grille de coupe verticale, dont les points sur l'horizontale sont équidistants",,,
Table de code 3.1 — Numéro du modèle de définition de la grille,1001-1099,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,1100,,,"Grille du diagramme de Hovmöller, dont les points sur l'horizontale sont équidistants",,,
Table de code 3.1 — Numéro du modèle de définition de la grille,1101-1199,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,1200,,,Grille de coupe dans le temps,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,1201-32767,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,32768-65534,,,En réserve pour un usage local,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,65535,,,Valeur manquante,,,
Table de code 3.2 — Forme de la Terre,0,,,"Terre considérée comme sphérique avec un rayon de 6 367 470,0 m",,,
Table de code 3.2 — Forme de la Terre,1,,,"Terre considérée comme sphérique, le rayon étant précisé (en m) par le fournisseur des données",,,
Table de code 3.2 — Forme de la Terre,2,,,"Terre considérée comme ellipsoïdale aplatie dont la taille a été définie par l'UAI en 1965 (grand axe = 6 378 160,0 m, petit axe = 6 356 775,0 m, f = 1/297,0)",,,
Table de code 3.2 — Forme de la Terre,3,,,"Terre considérée comme ellipsoïdale aplatie, le grand et le petit axes étant précisés (en km) par le fournisseur des données",,,
Table de code 3.2 — Forme de la Terre,4,,,"Terre considérée comme ellipsoïdale aplatie définie dans le modèle IAG-GRS80 (grand axe = 6 378 137,0 m, petit axe = 6 356 752,314 m, f = 1/298,257 222 101)",,,
Table de code 3.2 — Forme de la Terre,5,,,Terre représentée par le système WGS-84 (utilisé par l'OACI depuis 1998),,,
Table de code 3.2 — Forme de la Terre,6,,,"Terre considérée comme sphérique avec un rayon de 6 371 229,0 m",,,
Table de code 3.2 — Forme de la Terre,7,,,"Terre considérée comme ellipsoïdale aplatie, le grand et le petit axes étant précisés (en m) par le fournisseur des données",,,
Table de code 3.2 — Forme de la Terre,8,,,Terre considérée comme sphérique avec un rayon de 6 371 200 m mais le cadre de référence du WGS-84 est pris comme référence horizontale du champ résultant en latitude et en longitude,,,
Table de code 3.2 — Forme de la Terre,9,,,"Terre représentée par le système 1936 du service de cartographie Ordnance Survey de Grande-Bretagne, basé sur l'ellipsoïde de Airy 1830, avec pour longitude 0 le méridien de Greenwich et pour altitude 0 le niveau moyen de la mer mesuré à Newlyn",,,
Table de code 3.2 — Forme de la Terre,10-191,,,En réserve,,,
Table de code 3.2 — Forme de la Terre,192-254,,,En réserve pour un usage local,,,
Table de code 3.2 — Forme de la Terre,255,,,Valeur manquante,,,
Table d'indicateurs 3.3 — Indicateurs de résolution et de composantes,,1-2,,En réserve,,,
Table d'indicateurs 3.3 — Indicateurs de résolution et de composantes,,3,0,Incréments non indiqués dans la direction i,,,
Table d'indicateurs 3.3 — Indicateurs de résolution et de composantes,,3,1,Incréments indiqués dans la direction i,,,
Table d'indicateurs 3.3 — Indicateurs de résolution et de composantes,,4,0,Incréments non indiqués dans la direction j,,,
Table d'indicateurs 3.3 — Indicateurs de résolution et de composantes,,4,1,Incréments indiqués dans la direction j,,,
Table d'indicateurs 3.3 — Indicateurs de résolution et de composantes,,5,0,Composantes u et v calculées des grandeurs vectorielles par rapport aux directions est et nord,,,
Table d'indicateurs 3.3 — Indicateurs de résolution et de composantes,,5,1,Composantes u et v calculées des grandeurs vectorielles par rapport à la grille définie dans la direction des coordonnées croissantes x et y (ou i et j) respectivement,,,
Table d'indicateurs 3.3 — Indicateurs de résolution et de composantes,,6-8,,En réserve - mis à zéro,,,
Table d'indicateurs 3.4 — Mode d'exploration,,1,0,Exploration des points de la première ligne ou colonne dans la direction +i (+x),,,
Table d'indicateurs 3.4 — Mode d'exploration,,1,1,Exploration des points de la première ligne ou colonne dans la direction -i (-x),,,
Table d'indicateurs 3.4 — Mode d'exploration,,2,0,Exploration des points de la première ligne ou colonne dans la direction -j (-y),,,
Table d'indicateurs 3.4 — Mode d'exploration,,2,1,Exploration des points de la première ligne ou colonne dans la direction +j (+y),,,
Table d'indicateurs 3.4 — Mode d'exploration,,3,0,Les points adjacents dans la direction i (x) sont consécutifs,,,
Table d'indicateurs 3.4 — Mode d'exploration,,3,1,Les points adjacents dans la direction j (y) sont consécutifs,,,
Table d'indicateurs 3.4 — Mode d'exploration,,4,0,Exploration de toutes les lignes dans la même direction,,,
Table d'indicateurs 3.4 — Mode d'exploration,,4,1,Exploration des lignes adjacentes dans la direction opposée,,,
Table d'indicateurs 3.4 — Mode d'exploration,,5,0,Les points des lignes impaires ne sont pas décalés dans la direction i (x),,,
Table d'indicateurs 3.4 — Mode d'exploration,,5,1,Les points des lignes impaires sont décalés de Di/2 dans la direction i (x),,,
Table d'indicateurs 3.4 — Mode d'exploration,,6,0,Les points des lignes paires ne sont pas décalés dans la direction i (x),,,
Table d'indicateurs 3.4 — Mode d'exploration,,6,1,Les points des lignes paires sont décalés de Di/2 dans la direction i (x),,,
Table d'indicateurs 3.4 — Mode d'exploration,,7,0,Les points ne sont pas décalés dans la direction j (y),,,
Table d'indicateurs 3.4 — Mode d'exploration,,7,1,Les points sont décalés de Dj/2 dans la direction j (y),,,
Table d'indicateurs 3.4 — Mode d'exploration,,8,0,"Les lignes contiennent Ni points de grille et les colonnes, Nj points de grille",,,
Table d'indicateurs 3.4 — Mode d'exploration,,8,1,"Les lignes contiennent Ni points de grille, si les points ne sont pas décalés dans la direction i
Les lignes contiennent Ni-1 points de grille, si les points sont décalés de Di/2 dans la direction i
Les colonnes contiennent Nj points de grille, si les points ne sont pas décalés dans la direction j
Les colonnes contiennent Nj-1 points de grille, si les points sont décalés de Dj/2 dans la direction j",,,
Table d'indicateurs 3.5 — Centre de la projection,,1,0,Le pôle Nord se situe sur le plan de la projection,,,
Table d'indicateurs 3.5 — Centre de la projection,,1,1,Le pôle Sud se situe sur le plan de la projection,,,
Table d'indicateurs 3.5 — Centre de la projection,,2,0,Un seul centre de projection est utilisé,,,
Table d'indicateurs 3.5 — Centre de la projection,,2,1,La projection est bipolaire et symétrique,,,
Table de code 3.6 — Type de représentation des données spectrales,1,,,Les fonctions Legendre associées de la première espèce sont définies par:,,,
Table de code 3.6 — Type de représentation des données spectrales,2,,,Représentation avec transformée de Fourier 2D,,,
Table de code 3.7 — Mode de représentation des données spectrales,0,,,En réserve,,,
Table de code 3.7 — Mode de représentation des données spectrales,1,,,"Les nombres complexes Fm (voir le chiffre du code 1 de la table de code 3.6 ci-dessus) sont enregistrés pour m ≥ 0 sous forme de paires de nombres réels Re(Fm), Im(Fm) placées dans l'ordre des valeurs croissantes de n, allant de m à N(m), en commençant par m = 0, puis m = 1, 2, ... M (voir la note)",,,
Table de code 3.7 — Mode de représentation des données spectrales,2-254,,,En réserve,,,
Table de code 3.7 — Mode de représentation des données spectrales,255,,,Valeur manquante,,,
Table de code 3.8 — Position des points de grille,0,,,Points de grille situés aux sommets des triangles,,,
Table de code 3.8 — Position des points de grille,1,,,Points de grille situés au centre des triangles,,,
Table de code 3.8 — Position des points de grille,2,,,Points de grille situés au centre des côtés des triangles,,,
Table de code 3.8 — Position des points de grille,3-191,,,En réserve,,,
Table de code 3.8 — Position des points de grille,192-254,,,En réserve pour un usage local,,,
Table de code 3.8 — Position des points de grille,255,,,Valeur manquante,,,
Table d'indicateurs 3.9 — Ordre de numérotation des losanges vus du pôle correspondant,,1,0,Sens horaire,,,
Table d'indicateurs 3.9 — Ordre de numérotation des losanges vus du pôle correspondant,,1,1,Sens antihoraire,,,
Table d'indicateurs 3.9 — Ordre de numérotation des losanges vus du pôle correspondant,,2-8,,En réserve,,,
Table d'indicateurs 3.10 — Mode d'exploration appliqué à un losange,,1,0,Exploration des points dans la direction +i – du pôle à l'équateur,,,
Table d'indicateurs 3.10 — Mode d'exploration appliqué à un losange,,1,1,Exploration des points dans la direction -i - de l'équateur au pôle,,,
Table d'indicateurs 3.10 — Mode d'exploration appliqué à un losange,,2,0,Exploration des points dans la direction +j – d'ouest en est,,,
Table d'indicateurs 3.10 — Mode d'exploration appliqué à un losange,,2,1,Exploration des points dans la direction -j - d'est en ouest,,,
Table d'indicateurs 3.10 — Mode d'exploration appliqué à un losange,,3,0,Les points adjacents dans la direction i sont consécutifs,,,
Table d'indicateurs 3.10 — Mode d'exploration appliqué à un losange,,3,1,Les points adjacents dans la direction j sont consécutifs,,,
Table d'indicateurs 3.10 — Mode d'exploration appliqué à un losange,,4-8,,En réserve,,,
Table de code 3.11 — Interprétation de la liste de nombres à la fin de la section 3,0,,,Aucune liste ajoutée,,,
Table de code 3.11 — Interprétation de la liste de nombres à la fin de la section 3,1,,,"Les nombres définissent le nombre de points correspondant aux cercles de coordonnées (c'est-à-dire aux parallèles), les coordonnées sur chaque cercle sont des multiples de la maille portée sur ce cercle, les coordonnées extrêmes indiquées dans la définition de la grille (c'est-à-dire les longitudes extrêmes) peuvent ne pas être atteintes pour toutes les lignes",,,
Table de code 3.11 — Interprétation de la liste de nombres à la fin de la section 3,2,,,Les nombres définissent le nombre de points correspondant aux lignes de coordonnées délimitées par les coordonnées extrêmes indiquées dans la définition de la grille (c'est-à-dire les longitudes extrêmes) et figurant dans toutes les lignes,,,
Table de code 3.11 — Interprétation de la liste de nombres à la fin de la section 3,3,,,"Les nombres définissent les latitudes de chaque ligne de la grille. La liste de nombres correspond à celle des entiers des latitudes réelles exprimées en microdegrés (10⁻⁶ degrés) ou dans l'unité qui équivaut au rapport entre l'angle de base et le nombre des subdivisions pour chaque ligne, dans l'ordre précisé par l'indicateur du mode d'exploration (bit n° 2) (voir la note 2)",,,
Table de code 3.11 — Interprétation de la liste de nombres à la fin de la section 3,4-254,,,En réserve,,,
Table de code 3.11 — Interprétation de la liste de nombres à la fin de la section 3,255,,,Valeur manquante,,,
Table de code 3.15 — Signification physique des coordonnées verticales,0-19,,,En réserve,,,
Table de code 3.15 — Signification physique des coordonnées verticales,20,,,Température,,K,
Table de code 3.15 — Signification physique des coordonnées verticales,21-99,,,En réserve,,,
Table de code 3.15 — Signification physique des coordonnées verticales,100,,,Pression,,Pa,
Table de code 3.15 — Signification physique des coordonnées verticales,101,,,Écart de pression par rapport au niveau moyen de la mer,,Pa,
Table de code 3.15 — Signification physique des coordonnées verticales,102,,,Altitude au-dessus du niveau moyen de la mer,,m,
Table de code 3.15 — Signification physique des coordonnées verticales,103,,,Hauteur au-dessus du sol (voir note 1),,m,
Table de code 3.15 — Signification physique des coordonnées verticales,104,,,Coordonnée Sigma,,,
Table de code 3.15 — Signification physique des coordonnées verticales,105,,,Coordonnée Hybrid,,,
Table de code 3.15 — Signification physique des coordonnées verticales,106,,,Profondeur sous la surface du sol,,m,
Table de code 3.15 — Signification physique des coordonnées verticales,107,,,Température potentielle (θ),,K,
Table de code 3.15 — Signification physique des coordonnées verticales,108,,,Écart de pression du sol au niveau,,Pa,
Table de code 3.15 — Signification physique des coordonnées verticales,109,,,Tourbillon potentiel,,K m⁻² kg⁻¹ s⁻¹,
Table de code 3.15 — Signification physique des coordonnées verticales,110,,,Hauteur géométrique,,m,
Table de code 3.15 — Signification physique des coordonnées verticales,111,,,Coordonnée Eta (voir note 2),,,
Table de code 3.15 — Signification physique des coordonnées verticales,112,,,Hauteur géopotentielle,,gpm,
Table de code 3.15 — Signification physique des coordonnées verticales,113,,,Coordonnée hybride logarithmique,,,
Table de code 3.15 — Signification physique des coordonnées verticales,114-159,,,En réserve,,,
Table de code 3.15 — Signification physique des coordonnées verticales,160,,,Profondeur sous le niveau de la mer,,m,
Table de code 3.15 — Signification physique des coordonnées verticales,161-191,,,En réserve,,,
Table de code 3.15 — Signification physique des coordonnées verticales,192-254,,,En réserve pour un stage local,,,
Table de code 3.15 — Signification physique des coordonnées verticales,255,,,Valeur manquante,,,
Table de code 3.20 — Type de lignes horizontales,0,,,Rhumb,,,
Table de code 3.20 — Type de lignes horizontales,1,,,Grand cercle,,,
Table de code 3.20 — Type de lignes horizontales,2-191,,,En réserve,,,
Table de code 3.20 — Type de lignes horizontales,192-254,,,En réserve pour un usage local,,,
Table de code 3.20 — Type de lignes horizontales,255,,,Valeur manquante,,,
Table de code 3.21 — Définition des coordonnées dans la dimension verticale,0,,,Ensemble de valeurs explicites,,,
Table de code 3.21 — Définition des coordonnées dans la dimension verticale,1,,,"Coordonnées linéaires
f(1) = C1
f(n) = f(n-1) + C2",,,
Table de code 3.21 — Définition des coordonnées dans la dimension verticale,2-10,,,En réserve,,,
Table de code 3.21 — Définition des coordonnées dans la dimension verticale,11,,,"Coordonnées géométriques
f(1) = C1
f(n) = C2 x f(n-1)",,,
Table de code 3.21 — Définition des coordonnées dans la dimension verticale,12-191,,,En réserve,,,
Table de code 3.21 — Définition des coordonnées dans la dimension verticale,192-254,,,En réserve pour un usage local,,,
Table de code 3.21 — Définition des coordonnées dans la dimension verticale,255,,,Valeur manquante,,,
Table de code 3.25 — Type de troncature avec transformée de Fourier 2D,0-76,,,En réserve,,,
Table de code 3.25 — Type de troncature avec transformée de Fourier 2D,77,,,Rectangulaire,,,
Table de code 3.25 — Type de troncature avec transformée de Fourier 2D,78-87,,,En réserve,,,
Table de code 3.25 — Type de troncature avec transformée de Fourier 2D,88,,,Elliptique,,,
Table de code 3.25 — Type de troncature avec transformée de Fourier 2D,89-98,,,En réserve,,,
Table de code 3.25 — Type de troncature avec transformée de Fourier 2D,99,,,En losange,,,
Table de code 3.25 — Type de troncature avec transformée de Fourier 2D,100-191,,,En réserve,,,
Table de code 3.25 — Type de troncature avec transformée de Fourier 2D,192-254,,,En réserve pour un usage local,,,
Table de code 3.25 — Type de troncature avec transformée de Fourier 2D,255,,,Valeur manquante,,,
