TABLE TITLE,CHIFFRE DU CODE,NUMÉRO DE BIT,VALEUR,SIGNIFICATION,REMARQUES,UNITÉ
Table de code 1.5 – Numéro de modèle d'identification,2,,,Définition du calendrier et décalage paléontologique,,
Table de code 1.5 – Numéro de modèle d'identification,3-32767,,,En réserve,,
Table de code 1.5 – Numéro de modèle d'identification,32768-65534,,,En réserve pour un usage local,,
Table de code 1.5 – Numéro de modèle d'identification,65535,,,Valeur manquante,,
Table de code 1.6 – Type de calendrier,0,,,Grégorien,,
Table de code 1.6 – Type de calendrier,1,,,360 jours,Année non bissextile en principe,
Table de code 1.6 – Type de calendrier,2,,,365 jours,,
Table de code 1.6 – Type de calendrier,3,,,Grégorien proleptique,Fait remonter le calendrier grégorien indéfiniment dans le passé,
Table de code 1.6 – Type de calendrier,4-191,,,En réserve,,
Table de code 1.6 – Type de calendrier,192-254,,,En réserve pour un usage local,,
Table de code 1.6 – Type de calendrier,255,,,Valeur manquante,,
