TABLE_TITLE,OCTET_NO,CONTENU
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",37,Nombre de prévisions dans l'ensemble
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",10,Catégorie du paramètre (voir la table de code 4.1)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",11,Numéro du paramètre (voir la table de code 4.2)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",12,Type du processus de production (voir la table de code 4.3)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",13,Indicateur du processus de production de base (défini par le centre d'origine)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",14,Indicateur du processus de production de la prévision (défini par le centre d'origine)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",15-16,Limite (heures) de tombée des données d'observation après l'heure de référence (voir la note)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",17,Limite (minutes) de tombée des données d'observation après l'heure de référence
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",18,Indicateur d'unité de l'intervalle de temps (voir la table de code 4.4)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",19-22,Heure de la prévision exprimée dans l'unité précisée par l'octet 18
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",23,Type de la première surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",24,Facteur d'échelle - première surface spécifiée
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",25-28,Valeur ajustée - première surface spécifiée
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",29,Type de la deuxième surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",30,Facteur d'échelle - deuxième surface spécifiée
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",31-34,Valeur ajustée - deuxième surface spécifiée
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",35,Prévision dérivée (voir la table de code 4.7)
"Modèle de définition du produit 4.2 — Prévision dérivée, établie à partir de tous les membres de l'ensemble, pour une surface ou une couche horizontale, à un moment donné",36,Nombre de prévisions dans l'ensemble
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",10,Catégorie du paramètre (voir la table de code 4.1)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",11,Numéro du paramètre (voir la table de code 4.2)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",12,Type du processus de production (voir la table de code 4.3)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",13,Indicateur du processus de production de base (défini par le centre d'origine)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",14,Indicateur du processus de production de la prévision (défini par le centre d'origine)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",15-16,Limite (heures) de tombée des données d'observation après l'heure de référence (voir la note)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",17,Limite (minutes) de tombée des données d'observation après l'heure de référence
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",18,Indicateur d'unité de l'intervalle de temps (voir la table de code 4.4)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",19-22,Heure de la prévision exprimée dans l'unité précisée par l'octet 18
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",23,Type de la première surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",24,Facteur d'échelle - première surface spécifiée
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",25-28,Valeur ajustée - première surface spécifiée
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",29,Type de la deuxième surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",30,Facteur d'échelle - deuxième surface spécifiée
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",31-34,Valeur ajustée - deuxième surface spécifiée
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",35,Prévision dérivée (voir la table de code 4.7)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",36,Nombre de prévisions dans l'ensemble (N)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",37,Indicateur de groupe
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",38,Numéro du groupe auquel appartient la commande de haute résolution
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",39,Numéro du groupe auquel appartient la commande de basse résolution
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",40,Nombre total de groupes
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",41,Méthode de groupement (voir la table de code 4.8)
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",42-45,Latitude Nord du domaine du groupe
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",46-49,Latitude Sud du domaine du groupe
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",50-53,Longitude Est du domaine du groupe
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",54-57,Longitude Ouest du domaine du groupe
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",58,Nc - Nombre de prévisions dans le groupe
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",59,Facteur d'échelle - écart type dans le groupe
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",60-63,Valeur ajustée - écart type dans le groupe
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",64,Facteur d'échelle - écart entre le groupe et la moyenne de l'ensemble
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",65-68,Valeur ajustée - écart entre le groupe et la moyenne de l'ensemble
"Modèle de définition du produit 4.3 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone rectangulaire, pour une surface ou une couche horizontale, à un moment donné",69-(68+Nc),Liste des N prévisions d'ensemble (Nc est donné à l'octet 58)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",10,Catégorie du paramètre (voir la table de code 4.1)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",11,Numéro du paramètre (voir la table de code 4.2)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",12,Type du processus de production (voir la table de code 4.3)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",13,Indicateur du processus de production de base (défini par le centre d'origine)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",14,Indicateur du processus de production de la prévision (défini par le centre d'origine)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",15-16,Limite (heures) de tombée des données d'observation après l'heure de référence (voir la note)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",17,Limite (minutes) de tombée des données d'observation après l'heure de référence
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",18,Indicateur d'unité de l'intervalle de temps (voir la table de code 4.4)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",19-22,Heure de la prévision exprimée dans l'unité précisée par l'octet 18
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",23,Type de la première surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",24,Facteur d'échelle - première surface spécifiée
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",25-28,Valeur ajustée - première surface spécifiée
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",29,Type de la deuxième surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",30,Facteur d'échelle - deuxième surface spécifiée
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",31-34,Valeur ajustée - deuxième surface spécifiée
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",35,Prévision dérivée (voir la table de code 4.7)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",36,Nombre de prévisions dans l'ensemble (N)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",37,Indicateur de groupe
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",38,Numéro du groupe auquel appartient la commande de haute résolution
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",39,Numéro du groupe auquel appartient la commande de basse résolution
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",40,Nombre total de groupes
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",41,Méthode de groupement (voir la table de code 4.8)
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",42-45,Latitude du point central dans le domaine du groupe
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",46-49,Longitude du point central dans le domaine du groupe
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",50-53,Rayon du domaine du groupe
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",54,Nc - Nombre de prévisions dans le groupe
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",55,Facteur d'échelle - écart type dans le groupe
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",56-59,Valeur ajustée - écart type dans le groupe
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",60,Facteur d'échelle - écart entre le groupe et la moyenne de l'ensemble
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",61-64,Valeur ajustée - écart entre le groupe et la moyenne de l'ensemble
"Modèle de définition du produit 4.4 — Prévision dérivée, établie à partir d'un groupe de membres de l'ensemble, appliquée à une zone circulaire, pour une surface ou une couche horizontale, à un moment donné",65-(64+Nc),Liste des Nc prévisions d'ensemble (la valeur de Nc est donnée à l'octet 54)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",10,Catégorie du paramètre (voir la table de code 4.1)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",11,Numéro du paramètre (voir la table de code 4.2)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",12,Type du processus de production (voir la table de code 4.3)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",13,Indicateur du processus de production de base (défini par le centre d'origine)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",14,Indicateur du processus de production de la prévision (défini par le centre d'origine)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",15-16,Limite (heures) de tombée des données d'observation après l'heure de référence (voir la note)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",17,Limite (minutes) de tombée des données d'observation après l'heure de référence
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",18,Indicateur d'unité de l'intervalle de temps (voir la table de code 4.4)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",19-22,Heure de la prévision exprimée dans l'unité précisée par l'octet 18
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",23,Type de la première surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",24,Facteur d'échelle - première surface spécifiée
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",25-28,Valeur ajustée - première surface spécifiée
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",29,Type de la deuxième surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",30,Facteur d'échelle - deuxième surface spécifiée
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",31-34,Valeur ajustée - deuxième surface spécifiée
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",35,Numéro de la probabilité prévue
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",36,Nombre total de probabilités prévues
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",37,Type de probabilité (voir la table de code 4.9)
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",38,Facteur d'échelle - limite inférieure
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",39-42,Valeur ajustée - limite inférieure
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",43,Facteur d'échelle - limite supérieure
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",44-47,Valeur ajustée - limite supérieure
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",10,Catégorie du paramètre (voir la table de code 4.1)
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",11,Numéro du paramètre (voir la table de code 4.2)
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",12,Type du processus de production (voir la table de code 4.3)
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",13,Indicateur du processus de production de base (défini par le centre d'origine)
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",14,Indicateur du processus de production de la prévision (défini par le centre d'origine)
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",15-16,Limite (heures) de tombée des données d'observation après l'heure de référence (voir la note)
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",17,Limite (minutes) de tombée des données d'observation après l'heure de référence
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",18,Indicateur d'unité de l'intervalle de temps (voir la table de code 4.4)
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",19-22,Heure de la prévision exprimée dans l'unité précisée par l'octet 18
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",23,Type de la première surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",24,Facteur d'échelle - première surface spécifiée
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",25-28,Valeur ajustée - première surface spécifiée
"Modèle de définition du produit 4.6 — Prévision en percentiles pour une surface ou une couche horizontale, à un moment donné",29,Type de la deuxième surface spécifiée (voir la table de code 4.5)
